case_id,disease_name,final_label,final_total_score,reject_reasons
7e945884-d5ec-5c5f-b860-9fa36d5322e0,猪狂犬病风险,pass,89.0,too_few_standard_citations|answer_json_too_few_evidence_sources
031df905-305b-5e39-9ac4-9d0da987f948,猪腺病毒感染,pass,84.0,score_below_min
fa24ed7a-af80-510b-ae23-ddf9f0a1b456,猪星状病毒感染,pass,84.0,score_below_min
cb3a286f-81a3-5122-a678-c48e1b67af12,猪布尼亚病毒相关感染,pass,84.0,score_below_min
3246da8b-444f-5f5a-bab5-7c3670ffd39e,猪圆环病毒相关疾病,pass,84.0,score_below_min
62d17110-f198-575b-b517-aab9fadc049a,猪戊型肝炎,pass,84.0,score_below_min
ad6e83d4-2a78-5baa-91b1-92305c07c6da,猪水疱性口炎,pass,84.0,score_below_min|too_few_standard_citations|answer_json_too_few_evidence_sources
0f5e8efd-dbdf-5314-aaaf-9ca4d6daeb16,猪传染性胃肠炎,pass,84.0,score_below_min
19dff1f6-9c8d-5f80-9dd1-97fa0f98832f,仔猪黄白痢,pass,84.0,score_below_min
b4ec077d-2d39-5a33-8cce-e802d8788a41,猪腺病毒感染,pass,84.0,score_below_min
ffba2551-2f4b-59c6-92cf-46efa2581e8c,猪痢疾,pass,83.0,score_below_min
5638e9c4-4ede-5e8e-94b1-a8a69b62edd0,猪杯状病毒感染,pass,83.0,score_below_min
3f92fa17-6d1a-5456-b3f7-a8bb70128e5b,猪甲病毒相关感染,pass,83.0,score_below_min
e9ba976a-ac45-57b0-b87d-7f5662b02193,猪多杀性巴氏杆菌病,pass,83.0,score_below_min
609ebc59-391c-5f7f-ba97-1bb2595002a4,猪弓形虫病,pass,83.0,score_below_min
de456bae-7a45-504e-be6e-3d9dede278a5,猪圆环病毒相关疾病,pass,83.0,score_below_min
0591b3ac-3a87-5d76-9c5f-41a37e1fa25a,猪呼吸道冠状病毒感染,pass,83.0,score_below_min
a2b28cb8-30dd-5121-ad30-18588a79aaa2,猪丹毒,pass,82.0,score_below_min
7632020c-8e70-505e-a40c-09bd291ba7d5,猪沙门氏菌病,pass,82.0,score_below_min
cf38eeb7-e254-59b3-8b6b-db58a6099ff9,猪呼吸道冠状病毒感染,pass,82.0,score_below_min
4e02c266-2d41-5922-a286-1e3b315ddd55,猪托罗病毒感染,pass,82.0,score_below_min
7997fe5f-386a-5073-a4b8-ee3d5d01de8a,猪放线杆菌败血症,pass,82.0,score_below_min
f93aa257-1013-5abc-a7c0-c99bb1235c68,仔猪梭菌性肠炎,pass,82.0,score_below_min
a883d748-d98d-5991-97c6-03d87d3310bd,猪矿物质与化学物中毒,pass,82.0,score_below_min
5556b576-ffa0-5f59-bb9c-538f183f9fdf,猪沙门氏菌病,pass,82.0,score_below_min
57acf836-f0b3-5c98-a831-dd4ae7a03f44,猪杯状病毒感染,pass,82.0,score_below_min
