drug_mention,fact_id,source_id,page,line_start,line_end,drug_page,disease_page,chapter,heading
舒巴坦,SFDUT1-TX-0003,SRC-0089,2,303,303,,,第一章,1.抗生素
克拉维酸,SFDUT1-TX-0003,SRC-0089,2,303,303,,,第一章,1.抗生素
磺胺,SFDUT1-TX-0004,SRC-0089,3,314,314,DRUG-034-sulfonamides.md,,第一章,2. 合成抗菌药
乙酰甲喹,SFDUT1-TX-0005,SRC-0089,3,317,317,DRUG-050-dimetridazole-ronidazole.md,,第一章,2. 合成抗菌药
喹乙醇,SFDUT1-TX-0005,SRC-0089,3,317,317,DRUG-049-olaquindox.md,,第一章,2. 合成抗菌药
阿散酸,SFDUT1-TX-0005,SRC-0089,3,317,317,,,第一章,2. 合成抗菌药
博落回,SFDUT1-TX-0005,SRC-0089,3,317,317,,,第一章,2. 合成抗菌药
牛至油,SFDUT1-TX-0005,SRC-0089,3,317,317,,,第一章,2. 合成抗菌药
小檗碱,SFDUT1-TX-0005,SRC-0089,3,317,317,,,第一章,2. 合成抗菌药
乌洛托品,SFDUT1-TX-0005,SRC-0089,3,317,317,,,第一章,2. 合成抗菌药
磺胺,SFDUT1-TX-0006,SRC-0089,3,338,338,DRUG-034-sulfonamides.md,,第一章,4. 抗寄生虫药
托曲珠利,SFDUT1-TX-0006,SRC-0089,3,338,338,DRUG-027-toltrazuril.md,,第一章,4. 抗寄生虫药
地克珠利,SFDUT1-TX-0006,SRC-0089,3,338,338,,,第一章,4. 抗寄生虫药
肾上腺素,SFDUT1-TX-0013,SRC-0089,8,468,468,,,第一章,1. 不使用违禁药物
土霉素,SFDUT1-TX-0018,SRC-0089,10,525,525,DRUG-019-oxytetracycline.md,,第一章,1. 不使用违禁药物
四环素,SFDUT1-TX-0018,SRC-0089,10,525,525,DRUG-030-tetracyclines.md,,第一章,1. 不使用违禁药物
红霉素,SFDUT1-TX-0018,SRC-0089,10,525,525,DRUG-073-erythromycin.md,,第一章,1. 不使用违禁药物
林可霉素,SFDUT1-TX-0018,SRC-0089,10,525,525,DRUG-014-lincomycin.md,,第一章,1. 不使用违禁药物
二氟沙星,SFDUT1-TX-0022,SRC-0089,10,556,556,DRUG-051-danofloxacin-marbofloxacin.md,,第一章,2. 严格执行国家规定的兽药休药期
乙酰甲喹,SFDUT1-TX-0022,SRC-0089,10,556,556,DRUG-050-dimetridazole-ronidazole.md,,第一章,2. 严格执行国家规定的兽药休药期
喹乙醇,SFDUT1-TX-0022,SRC-0089,10,556,556,DRUG-049-olaquindox.md,,第一章,2. 严格执行国家规定的兽药休药期
青霉素,SFDUT1-TX-0023,SRC-0089,11,566,566,DRUG-009-penicillin-g.md,,第一章,1. 对症正确选药
氨苄西林,SFDUT1-TX-0023,SRC-0089,11,566,566,DRUG-042-ampicillin.md,,第一章,1. 对症正确选药
四环素,SFDUT1-TX-0023,SRC-0089,11,566,566,DRUG-030-tetracyclines.md,,第一章,1. 对症正确选药
氟苯尼考,SFDUT1-TX-0023,SRC-0089,11,566,566,DRUG-012-florfenicol.md,,第一章,1. 对症正确选药
阿托品,SFDUT1-TX-0023,SRC-0089,11,566,566,DRUG-079-atropine.md,,第一章,1. 对症正确选药
磺胺,SFDUT1-TX-0027,SRC-0089,13,584,584,DRUG-034-sulfonamides.md,,第一章,5. 合理搭配用药，注意配伍禁忌
维生素,SFDUT1-TX-0027,SRC-0089,13,584,584,,,第一章,5. 合理搭配用药，注意配伍禁忌
青霉素,SFDUT1-TX-0028,SRC-0089,13,588,588,DRUG-009-penicillin-g.md,,第一章,5. 合理搭配用药，注意配伍禁忌
舒巴坦,SFDUT1-TX-0028,SRC-0089,13,588,588,,,第一章,5. 合理搭配用药，注意配伍禁忌
克拉维酸,SFDUT1-TX-0028,SRC-0089,13,588,588,,,第一章,5. 合理搭配用药，注意配伍禁忌
四环素,SFDUT1-TX-0028,SRC-0089,13,588,588,DRUG-030-tetracyclines.md,,第一章,5. 合理搭配用药，注意配伍禁忌
磺胺,SFDUT1-TX-0028,SRC-0089,13,588,588,DRUG-034-sulfonamides.md,,第一章,5. 合理搭配用药，注意配伍禁忌
碳酸氢钠,SFDUT1-TX-0028,SRC-0089,13,588,588,,,第一章,5. 合理搭配用药，注意配伍禁忌
维生素,SFDUT1-TX-0028,SRC-0089,13,588,588,,,第一章,5. 合理搭配用药，注意配伍禁忌
链霉素,SFDUT1-TX-0029,SRC-0089,13,589,589,,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
卡那霉素,SFDUT1-TX-0029,SRC-0089,13,589,589,,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
庆大霉素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-023-gentamicin.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
新霉素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-024-neomycin.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
四环素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-030-tetracyclines.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
