name,page,category,kind,target_page,source_id
青霉素,35,β-内酰胺/青霉素类,individual_drug,wiki/drugs/DRUG-009-penicillin-g.md,SRC-0091
普鲁卡因青霉素,38,β-内酰胺/青霉素类,individual_drug,wiki/drugs/DRUG-009-penicillin-g.md,SRC-0091
氨苄西林,40,β-内酰胺/青霉素类,individual_drug,wiki/drugs/DRUG-042-ampicillin.md,SRC-0091
阿莫西林,42,β-内酰胺/青霉素类,individual_drug,wiki/drugs/DRUG-010-amoxicillin.md,SRC-0091
头孢噻呋,46,β-内酰胺/头孢菌素类,individual_drug,wiki/drugs/DRUG-011-ceftiofur.md,SRC-0091
头孢喹肟,47,β-内酰胺/头孢菌素类,individual_drug,wiki/drugs/DRUG-044-cefquinome.md,SRC-0091
链霉素,51,氨基糖苷类,individual_drug,wiki/drugs/DRUG-071-streptomycin.md,SRC-0091
庆大霉素,54,氨基糖苷类,individual_drug,wiki/drugs/DRUG-023-gentamicin.md,SRC-0091
安普霉素,56,氨基糖苷类,individual_drug,wiki/drugs/DRUG-025-apramycin.md,SRC-0091
大观霉素,57,氨基糖苷类,individual_drug,wiki/drugs/DRUG-026-spectinomycin.md,SRC-0091
新霉素,57,氨基糖苷类,individual_drug,wiki/drugs/DRUG-024-neomycin.md,SRC-0091
阿米卡星,58,氨基糖苷类,individual_drug,wiki/drugs/DRUG-074-amikacin.md,SRC-0091
土霉素,59,四环素类,individual_drug,wiki/drugs/DRUG-019-oxytetracycline.md,SRC-0091
四环素,62,四环素类,class_or_drug,wiki/drugs/DRUG-030-tetracyclines.md,SRC-0091
多西环素,63,四环素类,individual_drug,wiki/drugs/DRUG-021-doxycycline.md,SRC-0091
金霉素,64,四环素类,individual_drug,wiki/drugs/DRUG-020-chlortetracycline.md,SRC-0091
氟苯尼考,66,酰胺醇类,individual_drug,wiki/drugs/DRUG-012-florfenicol.md,SRC-0091
红霉素,67,大环内酯类,individual_drug,wiki/drugs/DRUG-073-erythromycin.md,SRC-0091
泰乐菌素,70,大环内酯类,individual_drug,wiki/drugs/DRUG-015-tylosin.md,SRC-0091
替米考星,71,大环内酯类,individual_drug,wiki/drugs/DRUG-045-tilmicosin.md,SRC-0091
林可霉素,73,林可胺类,individual_drug,wiki/drugs/DRUG-014-lincomycin.md,SRC-0091
泰万菌素,73,大环内酯类,individual_drug,wiki/drugs/DRUG-016-tylvalosin.md,SRC-0091
多黏菌素E,76,多肽类,individual_drug,wiki/drugs/DRUG-052-colistin.md,SRC-0091
杆菌肽,78,多肽类,individual_drug,wiki/drugs/DRUG-053-bacitracin-methylene-disalicylate.md,SRC-0091
泰妙菌素,79,截短侧耳素/其他抗生素,individual_drug,wiki/drugs/DRUG-013-tiamulin.md,SRC-0091
维吉尼霉素,79,多肽类,individual_drug,wiki/drugs/DRUG-054-virginiamycin.md,SRC-0091
沃尼妙林,80,截短侧耳素/其他抗生素,individual_drug,wiki/drugs/DRUG-046-valnemulin.md,SRC-0091
磺胺嘧啶,83,磺胺类/增效剂,individual_drug,wiki/drugs/DRUG-038-trimethoprim-sulfadiazine.md,SRC-0091
磺胺二甲嘧啶,87,磺胺类/增效剂,individual_drug,wiki/drugs/DRUG-037-sulfamethazine.md,SRC-0091
磺胺甲噁唑,88,磺胺类/增效剂,individual_drug,wiki/drugs/DRUG-040-trimethoprim-sulfamethoxazole.md,SRC-0091
磺胺间甲氧嘧啶,90,磺胺类/增效剂,individual_drug,wiki/drugs/DRUG-039-sulfadimethoxine.md,SRC-0091
甲氧苄啶,93,磺胺类/增效剂,synergy_agent,wiki/drugs/DRUG-022-sulfonamide-trimethoprim.md,SRC-0091
恩诺沙星,97,喹诺酮类,individual_drug,wiki/drugs/DRUG-018-enrofloxacin.md,SRC-0091
达氟沙星,99,喹诺酮类,individual_drug,wiki/drugs/DRUG-051-danofloxacin-marbofloxacin.md,SRC-0091
马波沙星,101,喹诺酮类,individual_drug,wiki/drugs/DRUG-051-danofloxacin-marbofloxacin.md,SRC-0091
甲硝唑,107,硝基咪唑类,class_or_drug,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0091
地美硝唑,109,硝基咪唑类,individual_drug,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0091
喹乙醇,110,喹噁啉类,individual_drug,wiki/drugs/DRUG-049-olaquindox.md,SRC-0091
卡巴多司,111,喹噁啉类,individual_drug,wiki/drugs/DRUG-048-carbadox.md,SRC-0091
阿苯达唑,145,苯并咪唑类驱虫药,individual_drug,wiki/drugs/DRUG-005-benzimidazoles.md,SRC-0091
芬苯达唑,146,苯并咪唑类驱虫药,individual_drug,wiki/drugs/DRUG-004-fenbendazole.md,SRC-0091
左旋咪唑,148,咪唑并噻唑类驱虫药,individual_drug,wiki/drugs/DRUG-056-levamisole.md,SRC-0091
噻嘧啶,153,四氢嘧啶类驱虫药,individual_drug,wiki/drugs/DRUG-057-piperazine-pyrantel.md,SRC-0091
伊维菌素,156,阿维菌素类,individual_drug,wiki/drugs/DRUG-002-ivermectin.md,SRC-0091
莫西菌素,158,阿维菌素类,individual_drug,wiki/drugs/DRUG-055-moxidectin.md,SRC-0091
多拉菌素,159,阿维菌素类,individual_drug,wiki/drugs/DRUG-003-doramectin.md,SRC-0091
阿维菌素,159,阿维菌素类,class_or_drug,wiki/drugs/DRUG-001-avermectins.md,SRC-0091
哌嗪,160,其他驱线虫药,individual_drug,wiki/drugs/DRUG-057-piperazine-pyrantel.md,SRC-0091
吡喹酮,163,抗绦虫药,individual_drug,wiki/drugs/DRUG-075-praziquantel.md,SRC-0091
磺胺二甲嘧啶,177,磺胺类/增效剂,individual_drug,wiki/drugs/DRUG-037-sulfamethazine.md,SRC-0091
妥曲珠利,180,抗球虫药,individual_drug,wiki/drugs/DRUG-027-toltrazuril.md,SRC-0091
氨丙啉,182,抗球虫药,individual_drug,wiki/drugs/DRUG-062-amprolium.md,SRC-0091
甲硝唑,188,硝基咪唑类,class_or_drug,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0091
地美硝唑,191,硝基咪唑类,individual_drug,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0091
敌敌畏,196,有机磷杀虫药,individual_drug,wiki/drugs/DRUG-076-dichlorvos.md,SRC-0091
溴氰菊酯,199,拟除虫菊酯类杀虫药,individual_drug,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,SRC-0091
氰戊菊酯,200,拟除虫菊酯类杀虫药,individual_drug,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,SRC-0091
