fact_id,fact_type,subject,predicate,object,page,category,target_page,evidence_source_id,evidence_coverage
RAU1-DRUG-0001,drug_combination_manual_entry,青霉素,rational_use_or_combination_boundary,Benzylpenicillin (Penicillin) 【药理作用及适应证】又名苄青霉素。由青霉菌培养液中获得，具有作用强、产量高、价格低廉的特点。本品抗菌谱较窄，对革兰阳性菌、革兰阴性球菌、放线菌属、螺旋体作用强，敏感菌有葡萄球菌、链球菌、肺炎球菌、脑膜炎球菌、丹毒丝菌、化脓棒状杆菌、破伤风梭菌、李氏杆菌、产气荚膜梭菌、炭疽杆菌。至今仍作首选药，用于防治敏感菌感染，如上呼吸道感染、肺脓肿、吸入性肺炎、细菌性心内膜炎、脓胸、化脓性腹膜炎、肝脓肿、淋巴结脓肿、丹毒、乳腺炎、子宫炎、创伤感染及肾盂肾炎和膀胱炎等尿路感染等；对钩端螺旋体病也有很好效果；鸡大剂量内服可抑制球虫病并发的梭菌感染；与抗破伤风血清合用对抗破伤风。本品钠盐晶粉在室温下稳定，易溶于水，其水溶液稳定性差，室温中放置 $24\mathrm{h}$ 后大部分降解失效，同时可生成具有抗原性的降解产物，故需现配现用。不耐酸，不耐青霉素酶，故内服吸收少而不规则，易被胃酸及消化酶破坏，不宜口服，但仔猪和鸡大剂量内服，可达有效血药浓度；肌注吸收完全，广泛分布于全身各组织，脑膜炎时可透入脑脊液达到有效治疗浓度；以原型从尿快速排出，给药后1h内排出 绝大部分药物。,35,β-内酰胺/青霉素类,wiki/drugs/DRUG-009-penicillin-g.md,SRC-0091,complete
RAU1-DRUG-0002,drug_combination_manual_entry,普鲁卡因青霉素,rational_use_or_combination_boundary,Procaine Benzylpenicillin 【药理作用及适应证】又称长效苄星青霉素。抗菌谱及适应证与青霉素相似，水溶性差，作用时间长。本品肌注局部水解释放青霉素，缓慢吸收，达峰时间较长，血中浓度较低，但维持时间较长。主要用于高度敏感菌引起的轻症或预防感染，或作维持剂量用。为能在较短时间内升高血药浓度，可与青霉素钠（钾）混合制成注射剂，以兼顾长效和速效。,38,β-内酰胺/青霉素类,wiki/drugs/DRUG-009-penicillin-g.md,SRC-0091,complete
RAU1-DRUG-0003,drug_combination_manual_entry,氨苄西林,rational_use_or_combination_boundary,氨苄西林 在目录中定位为 β-内酰胺/青霉素类，可作为药物类别和联用禁忌入口。,40,β-内酰胺/青霉素类,wiki/drugs/DRUG-042-ampicillin.md,SRC-0091,complete
RAU1-DRUG-0004,drug_combination_manual_entry,阿莫西林,rational_use_or_combination_boundary,阿莫西林 在目录中定位为 β-内酰胺/青霉素类，可作为药物类别和联用禁忌入口。,42,β-内酰胺/青霉素类,wiki/drugs/DRUG-010-amoxicillin.md,SRC-0091,complete
RAU1-DRUG-0005,drug_combination_manual_entry,头孢噻呋,rational_use_or_combination_boundary,Ceftiofur 【药理作用与适应证】动物专用第三代头孢菌素。抗菌活性强，抗菌谱广，对革兰阴性菌如大肠杆菌、沙门杆菌、多杀性和溶血性巴氏杆菌、胸膜肺炎放线杆菌等有强效；抗革兰阳性菌作用弱于第一、二代；对产 $\beta$ -内酰胺酶菌株及厌氧菌有效。本品内服不吸收，肌内及皮下注射吸收迅速，分布广泛，有效血药浓度维持时间长，体内先代谢为有活性的脱氧呋喃甲酰头孢噻呋，再代谢为无活性产 物，大部分在肌注后 $24\mathrm{h}$ 内由尿和粪便排出。消除半衰期有明显的种属差异：马3.15h、牛7.12h、绵羊2.83h、猪14.5h、犬4.12h、鸡6.77h、火鸡7.45h。用于敏感菌引发的动物呼吸道、泌尿道感染，如牛运输热和肺炎，猪黄痢、嗜血性放线杆菌引发猪传染性胸膜肺炎，链球菌引起的马呼吸道感染，大肠杆菌与奇异变形菌引起的犬泌尿道感染，鸡大肠杆菌感染。,46,β-内酰胺/头孢菌素类,wiki/drugs/DRUG-011-ceftiofur.md,SRC-0091,complete
RAU1-DRUG-0006,drug_combination_manual_entry,头孢喹肟,rational_use_or_combination_boundary,Cefquinome 【药理作用及适应证】又名头孢喹诺、克百特。动物专用第四代头孢菌素。抗菌活性强于头孢噻呋，抗菌谱广，对头孢菌素类敏感的革兰阳性菌和革兰阴性菌（包括产 $\beta$ -内酰胺酶菌）有很强杀灭作用。本品内服吸收很少，肌内和皮下注射吸收迅速，体内分布并不广泛，消除较快，马、牛、山羊、猪和犬体内消除半衰期介于 $0.5\sim 2h$ ，各动物生物利用度均高于 $93\%$ ，主要以原型从尿排出。乳房灌注时，药物快速分布于整个乳房组织，且能维持高浓度，随 兽/药/合/理/应/用/与/联/用/手/册 乳汁排泄。用于敏感菌引起的牛、猪呼吸系统感染等疾病，如牛支气管肺炎、奶牛乳腺炎；猪放线杆菌性胸膜肺炎、渗出性皮炎及母猪子宫炎-乳房炎-无乳综合征。,47,β-内酰胺/头孢菌素类,wiki/drugs/DRUG-044-cefquinome.md,SRC-0091,complete
RAU1-DRUG-0007,drug_combination_manual_entry,链霉素,rational_use_or_combination_boundary,链霉素 在目录中定位为 氨基糖苷类，可作为药物类别和联用禁忌入口。,51,氨基糖苷类,wiki/drugs/DRUG-071-streptomycin.md,SRC-0091,complete
RAU1-DRUG-0008,drug_combination_manual_entry,庆大霉素,rational_use_or_combination_boundary,Gentamycin 【药理作用及适应证】体外抗菌活性在本类药物中最强，对大多数需氧革兰阴性菌均有较强杀菌作用，革兰阳性菌中对耐药金葡菌也有较强作用，对耐药的溶血性链球菌、炭疽杆菌等也有效果；对支原体有一定作用；对结核杆菌、真菌、阿米巴原虫无效。主要用于敏感菌所致呼吸道、肠道、泌尿道感染和败血症等。细菌耐药性维持时间较短，停药后易恢复敏感。本品内服和子宫灌注极少吸收；肌内注射吸收迅速而完全；皮下注射血药浓度达峰较肌注慢；局部冲洗经体表吸收一定量；新生仔畜及肾功能障碍患畜排泄显著减慢。发热使本品血药浓度降低，贫血使血药浓度升高。,54,氨基糖苷类,wiki/drugs/DRUG-023-gentamicin.md,SRC-0091,complete
RAU1-DRUG-0009,drug_combination_manual_entry,安普霉素,rational_use_or_combination_boundary,安普霉素 在目录中定位为 氨基糖苷类，可作为药物类别和联用禁忌入口。,56,氨基糖苷类,wiki/drugs/DRUG-025-apramycin.md,SRC-0091,complete
RAU1-DRUG-0010,drug_combination_manual_entry,大观霉素,rational_use_or_combination_boundary,大观霉素 在目录中定位为 氨基糖苷类，可作为药物类别和联用禁忌入口。,57,氨基糖苷类,wiki/drugs/DRUG-026-spectinomycin.md,SRC-0091,complete
RAU1-DRUG-0011,drug_combination_manual_entry,新霉素,rational_use_or_combination_boundary,新霉素 在目录中定位为 氨基糖苷类，可作为药物类别和联用禁忌入口。,57,氨基糖苷类,wiki/drugs/DRUG-024-neomycin.md,SRC-0091,complete
RAU1-DRUG-0012,drug_combination_manual_entry,阿米卡星,rational_use_or_combination_boundary,阿米卡星 在目录中定位为 氨基糖苷类，可作为药物类别和联用禁忌入口。,58,氨基糖苷类,wiki/drugs/DRUG-074-amikacin.md,SRC-0091,complete
